filename,width,height,class,xmin,ymin,xmax,ymax
12342153125.jpg,256,197,raccoon,74,7,230,197
56. raccoon.jpg,660,432,raccoon,8,3,429,432
4. 157636471.jpg,720,480,raccoon,9,1,668,480
20. pomeranian%20004.jpg,630,420,pomeranian,112,28,501,366
2345236.jpg,650,455,pomeranian,133,77,497,424
100. giant-panda-bear-pictures0.jpg,625,450,panda,208,71,505,422
otters_1280.jpg,1279,719,otter,167,169,739,637
7. pandas2-rex-ml-171220_16x9_992.jpg,992,558,panda,324,24,739,558
47. 41e24d7500000578-0-image-a-22_1498765384176.jpg,634,653,pomeranian,143,117,567,569
7. common-pomeranian-health-issues_canna-pet-1024x683.jpg,1024,683,pomeranian,59,20,652,683
29. 36940534_401.jpg,700,394,panda,19,174,265,313
60. pomeranian-50tube-dog_2048x.jpg,800,800,pomeranian,49,67,472,790
79. naturalselection-meerkats-1.jpg,1024,683,meerkat,657,231,855,602
27. 76e97818acf6af4bd304bfcec2d49513.jpg,736,736,pomeranian,76,84,552,691
85. raccoonbyrobyn.jpg,457,291,raccoon,112,127,196,209
11. 33087a22aa76ea4af088a763a4f65cec.jpg,601,451,pomeranian,168,22,435,436
250px-Cozumel_Raccoon2.jpg,250,204,raccoon,26,17,225,194
201710180502221848_t.jpg,1280,720,raccoon,216,1,1011,720
82. fronts1.jpg,534,552,pomeranian,380,288,534,488
2bf67c015eddbd5ba39b0d7fa3980342--giant-pandas-panda-bears.jpg,236,354,panda,13,44,225,297
62. meerkat-3306834_960_720.jpg,960,670,meerkat,305,21,680,664
98. 232408_c25552dc0a179ed926327035a8b9353fbde71aeb.jpg,1200,630,raccoon,389,14,1142,630
IMG_6744.jpg,740,493,pomeranian,240,106,487,439
28. lowmeer0008.jpg,600,449,meerkat,50,25,165,386
77. 45f052d200000578-5057521-meng_meng_seemed_to_be_enjoying_the_cold_weather_as_she_played_w-a-3_1510051007124.jpg,962,713,panda,165,170,763,676
19. adorable-pomeranian-melting-in-water-2-5976ff1fa7c7e__700.jpg,700,703,pomeranian,93,58,671,597
panda-655493_960_720.jpg,960,637,panda,99,108,690,566
39. panda-facts-5.jpg,340,456,panda,32,12,340,439
9. 161230120612-04-pan-pan-china-panda-exlarge-169.jpg,780,438,panda,191,168,576,438
29. rac.jpg,1023,576,raccoon,255,12,807,547
62. sea-otters-michael-peters-dpc.jpg,700,382,otter,290,96,559,353
65. 9143175_orig.jpg,641,400,raccoon,135,159,267,352
IE001102392_STD.jpg,500,335,panda,220,135,362,274
40. riverotter.jpg,480,480,otter,31,104,240,480
25. 2014-11-01_lif_4341720_i3.jpg,620,342,meerkat,20,64,120,342
27. pandas-eat-fresh.jpg,720,479,panda,193,9,618,479
94. a-baby-panda-fell-off-a-stage-but-dont-worry-hes-2-25672-1475256931-0_dblbig-1ujgosm.jpg,625,415,panda,1,120,294,352
21. https%3a%2f%2fblueprint-api-production.s3.amazonaws.com%2fuploads%2fcard%2fimage%2f601870%2f547b71c5-3c06-4fcd-a92b-9d352a9fac8f.jpg,950,534,otter,315,102,500,521
59. panda.jpg,615,410,panda,72,51,535,383
77. forgotten-otters.jpg,991,529,otter,624,72,954,529
96. tile-panda-fi-2017-600x315.jpg,600,315,panda,119,15,353,315
23462632467.jpg,900,550,pomeranian,212,25,713,513
26. meerkat_mob_one_with_mouth_open.jpg,838,530,meerkat,566,79,713,251
71. raccoons_42-33050750.jpg,800,600,raccoon,362,83,649,589
49. peter%20trimming%20otter%201.jpg,500,385,otter,38,7,470,337
29. meerkat1.jpg,750,330,meerkat,321,50,456,302
72. meerkat-on-lookout-duty.jpg,346,520,meerkat,81,71,239,481
32. pomeranian-names-1-final.jpg,800,481,pomeranian,66,71,280,414
38. rabid-raccoon.jpg,1024,682,raccoon,161,48,786,682
62. panda-09efa78a037ecec86e13982313598c7c5116dbbf-s900-c85.jpg,900,675,panda,462,82,900,569
94. meerkats-small-hero.jpg,600,300,meerkat,67,118,217,300
55. murray-37.jpg,1024,507,otter,121,27,640,507
34. setwidth700-meerkat.jpg,700,778,meerkat,152,16,543,752
12351235325.jpg,520,338,meerkat,261,4,427,336
86. sea-otters-holding-hands-1-copy.jpg,800,600,otter,278,1,800,566
77. screen_shot_2017-09-28_at_5.21.17_pm___super_portrait.jpg,834,417,raccoon,564,4,762,293
76. 7-blackpom.jpg,680,452,pomeranian,201,20,493,405
53. meerkathero.jpg,1100,600,meerkat,291,162,452,445
56. meerkat-teeth.jpg,900,477,meerkat,190,25,766,477
99. racoon-co-colin-williamson.jpg,634,312,raccoon,216,5,515,297
14. 3214793.large.jpg,650,400,otter,22,15,629,302
46. shutterstock_584724292-1522943935-1781.jpg,800,600,raccoon,25,81,651,600
raccoon.jpg,800,420,raccoon,60,5,480,420
51. 628x353-otter-cu-yawn.jpg,628,353,otter,53,25,498,332
70. 5616.jpg,1200,630,raccoon,204,38,1116,464
3. pomeranian-on-white-01.jpg,729,486,pomeranian,177,18,572,479
71. 2015%2f03%2f15%2f96%2fmeerkats.0c657.jpg,950,534,meerkat,309,68,545,468
47. 711_7275-edit-edit-1.jpg,600,600,meerkat,42,56,547,600
84. pomeranian-800.jpg,800,513,pomeranian,326,65,632,435
FOREIGN201508171309000245117270703.jpg,834,531,panda,374,90,791,504
56. cleveland-zoo-otters.jpg,800,482,otter,55,14,355,379
12. 4519-004-57bc9c9c.jpg,293,450,meerkat,99,28,247,443
lg-otter.jpg,420,301,otter,27,35,419,301
135303471_14613057685941n.jpg,900,689,panda,232,167,732,643
82. raccoon-removal-tcf.jpg,450,300,raccoon,146,107,300,283
13251325135.jpg,225,225,raccoon,17,16,177,186
28. pomeranian-960x540.jpg,960,540,pomeranian,90,7,937,540
14c78a79-560c-4dac-8fc1-11494610aa18.jpg,560,294,panda,137,2,477,294
11. leggb4m5xy3i3clxpjvswoj3le.jpg,480,338,meerkat,17,63,375,333
24. baby-otter-ecotarium.jpg,645,429,otter,48,6,593,429
42. panda-chine_5923268.jpg,640,360,panda,118,9,508,360
94. a-baby-panda-fell-off-a-stage-but-dont-worry-hes-2-25672-1475256931-0_dblbig-1ujgosm.jpg,625,415,panda,352,5,612,391
25. pomeranian-red-700x700.jpg,700,700,pomeranian,104,12,610,688
80. methode%2fsundaytimes%2fprod%2fweb%2fbin%2f4a2be780-fddb-11e7-ba61-5366488da64d.jpg,685,385,meerkat,276,7,559,385
45. meerkat-group-on-rock.ngsversion.1412704191900.adapt.945.1.jpg,945,531,meerkat,236,255,507,531
12351235151.jpg,269,187,raccoon,145,28,230,160
49. meerkat-mating-competitive-eating.jpg,900,600,meerkat,536,247,684,531
234523623462.jpg,225,224,pomeranian,54,30,192,224
21041548_1376723639111908_9146759711603818496_n.jpg,480,480,raccoon,78,50,472,346
31. raccoon-catching-raindrops-in-car.jpg,640,494,raccoon,47,92,320,494
2016122571_editor_image.jpg,1090,666,meerkat,437,292,578,573
31. captivemeerk.jpg,662,992,meerkat,83,64,660,992
43. short-clawed-otters.jpg,638,437,otter,267,27,619,401
29. 36940534_401.jpg,700,394,panda,93,52,330,179
26. main_900.jpg,900,629,panda,210,303,410,481
49. meerkat-mating-competitive-eating.jpg,900,600,meerkat,746,323,886,557
56. cleveland-zoo-otters.jpg,800,482,otter,480,11,800,351
61. _59823448_cimg2880.jpg,624,351,meerkat,509,168,624,325
16. raccoon-spirit-animal-1.jpg,700,467,raccoon,85,13,667,467
26. meerkat_mob_one_with_mouth_open.jpg,838,530,meerkat,356,85,541,273
5. otter-asian-baby.jpg,1000,667,otter,735,8,1000,293
41. penny-palmer-cheering-sea-otter-00002018.jpg,620,337,otter,129,83,520,262
86. smpost_1508350220176.jpg,640,360,panda,107,112,368,342
44. pomeranian-21.jpg,1000,664,pomeranian,341,49,897,635
33. sitting+pomeranian+puppy+statue.jpg,353,353,pomeranian,55,6,322,351
28158785_2068943686709374_3970083699008995328_n.jpg,480,480,pomeranian,47,62,330,393
82. meerkat-hero.jpg,1400,450,meerkat,218,39,682,450
46b5202e78511b51bb0c4645d10ce3af.jpg,750,480,panda,356,45,750,418
3zeOqFqu_400x400.jpg,313,313,raccoon,10,3,313,311
12. 00000-00568744-800x533.jpg,800,533,panda,132,81,692,478
72. pandas2.jpg,620,350,panda,302,5,512,350
29. 36940534_401.jpg,700,394,panda,515,165,677,291
42. back4.jpg,1187,642,pomeranian,465,50,825,642
